species	ensembl_assembly_accession	assembly_status
methanosarcina_mazei_gca_000979575	GCA_000979575.1	Scaffold
methanosarcina_mazei_gca_000979585	GCA_000979585.1	Scaffold
methanosarcina_mazei_gca_000979595	GCA_000979595.1	Scaffold
methanosarcina_mazei_gca_000979635	GCA_000979635.1	Scaffold
methanosarcina_mazei_gca_000979655	GCA_000979655.1	Scaffold
methanosarcina_mazei_gca_000979665	GCA_000979665.1	Scaffold
methanosarcina_mazei_gca_000979675	GCA_000979675.1	Scaffold
methanosarcina_mazei_gca_000979685	GCA_000979685.1	Scaffold
methanosarcina_mazei_gca_000979735	GCA_000979735.1	Scaffold
methanosarcina_mazei_gca_000979745	GCA_000979745.1	Scaffold
methanosarcina_mazei_gca_000979745	GCA_000979745.1	Scaffold
methanosarcina_mazei_gca_000979755	GCA_000979755.1	Scaffold
methanosarcina_mazei_gca_000979765	GCA_000979765.1	Scaffold
methanosarcina_mazei_gca_000979815	GCA_000979815.1	Scaffold
methanosarcina_mazei_gca_000979825	GCA_000979825.1	Scaffold
methanosarcina_mazei_gca_000979845	GCA_000979845.1	Scaffold
methanosarcina_mazei_gca_000979855	GCA_000979855.1	Scaffold
methanosarcina_mazei_gca_000979895	GCA_000979895.1	Scaffold
methanosarcina_mazei_gca_000979915	GCA_000979915.1	Scaffold
methanosarcina_mazei_gca_000979925	GCA_000979925.1	Scaffold
methanosarcina_mazei_gca_000979935	GCA_000979935.1	Scaffold
methanosarcina_mazei_gca_000979995	GCA_000979995.1	Scaffold
methanosarcina_mazei_gca_000980005	GCA_000980005.1	Scaffold
methanosarcina_mazei_gca_000980025	GCA_000980025.1	Scaffold
methanosarcina_mazei_gca_000980055	GCA_000980055.1	Scaffold
methanosarcina_mazei_gca_000980075	GCA_000980075.1	Scaffold
methanosarcina_mazei_gca_000980085	GCA_000980085.1	Scaffold
methanosarcina_mazei_gca_000980105	GCA_000980105.1	Scaffold
methanosarcina_mazei_gca_000980135	GCA_000980135.1	Scaffold
methanosarcina_mazei_gca_000980155	GCA_000980155.1	Scaffold
methanosarcina_mazei_gca_000980175	GCA_000980175.1	Scaffold
methanosarcina_mazei_gca_005485005	GCA_005485005.1	Chromosome
methanococcoides_methylutens_gca_000765475	GCA_000765475.1	Contig
archaeoglobus_fulgidus_gca_001508745	GCA_001508745.1	Contig
halobacterium_salinarum_gca_004799605	GCA_004799605.1	Complete Genome
halorubrum_saccharovorum_gca_000700025	GCA_000700025.2	Contig
sulfolobus_acidocaldarius_gca_001481595	GCA_001481595.1	Chromosome
sulfolobus_acidocaldarius_gca_001481635	GCA_001481635.1	Chromosome
saccharolobus_solfataricus_gca_000968355	GCA_000968355.2	Complete Genome
saccharolobus_solfataricus_gca_000968395	GCA_000968395.2	Complete Genome
saccharolobus_solfataricus_gca_000968435	GCA_000968435.2	Complete Genome
saccharolobus_solfataricus_gca_003852095	GCA_003852095.1	Complete Genome
saccharolobus_solfataricus_gca_003852115	GCA_003852115.1	Complete Genome
saccharolobus_solfataricus_gca_003852135	GCA_003852135.1	Complete Genome
saccharolobus_solfataricus_gca_003852155	GCA_003852155.1	Complete Genome
saccharolobus_solfataricus_gca_003852175	GCA_003852175.1	Complete Genome
saccharolobus_solfataricus_gca_003852195	GCA_003852195.1	Complete Genome
saccharolobus_solfataricus_gca_003852195	GCA_003852195.1	Complete Genome
saccharolobus_solfataricus_gca_003852215	GCA_003852215.1	Complete Genome
saccharolobus_solfataricus_gca_003852215	GCA_003852215.1	Complete Genome
pyrodictium_occultum_gca_001462395	GCA_001462395.1	Contig
methanosphaera_stadtmanae_gca_003265405	GCA_003265405.1	Scaffold
pyrobaculum_aerophilum_gca_003400025	GCA_003400025.1	Contig
pyrobaculum_aerophilum_gca_003400145	GCA_003400145.1	Contig
haloarcula_vallismortis_gca_900106715	GCA_900106715.1	Scaffold
methanofollis_liminatans_dsm_4140_gca_000275865	GCA_000275865.1	Chromosome
halorubrum_distributum_gca_002252935	GCA_002252935.1	Scaffold
halophilic_archaeon_gca_003298465	GCA_003298465.1	Contig
natrialba_asiatica_dsm_12278_gca_000337555	GCA_000337555.1	Contig
halorubrum_sodomense_gca_900111935	GCA_900111935.1	Scaffold
haloferax_gibbonsii_gca_001190965	GCA_001190965.1	Complete Genome
methanolobus_vulcani_gca_900100715	GCA_900100715.1	Scaffold
methanococcus_maripaludis_gca_002945325	GCA_002945325.1	Complete Genome
methanohalophilus_portucalensis_gca_002761295	GCA_002761295.1	Chromosome
acidianus_brierleyi_gca_003201835	GCA_003201835.1	
metallosphaera_sedula_gca_000747605	GCA_000747605.1	Chromosome
metallosphaera_sedula_gca_001266655	GCA_001266655.1	Complete Genome
metallosphaera_sedula_gca_001266675	GCA_001266675.1	Complete Genome
metallosphaera_sedula_gca_001266695	GCA_001266695.1	Complete Genome
metallosphaera_sedula_gca_001266715	GCA_001266715.1	Complete Genome
metallosphaera_sedula_gca_001266735	GCA_001266735.1	Complete Genome
halobaculum_gomorrense_gca_900129775	GCA_900129775.1	Scaffold
natronobacterium_gregoryi_gca_900114025	GCA_900114025.1	Contig
metallosphaera_prunae_gca_005222525	GCA_005222525.1	Complete Genome
methanobrevibacter_cuticularis_gca_001639285	GCA_001639285.1	Contig
methanothermobacter_defluvii_gca_003385755	GCA_003385755.1	Scaffold
methanobrevibacter_curvatus_gca_001639295	GCA_001639295.1	Contig
thermococcus_profundus_gca_002214585	GCA_002214585.1	Complete Genome
methanohalophilus_euhalobius_gca_002973515	GCA_002973515.1	Contig
methanohalophilus_euhalobius_gca_003722155	GCA_003722155.1	Contig
methanohalophilus_euhalobius_gca_004340645	GCA_004340645.1	Contig
methanohalophilus_euhalobius_gca_900215215	GCA_900215215.1	Contig
thermococcus_peptonophilus_gca_001592435	GCA_001592435.1	Complete Genome
thermococcus_barossii_gca_002214465	GCA_002214465.1	Complete Genome
thermococcus_chitonophagus_gca_002214605	GCA_002214605.1	Complete Genome
thermococcus_chitonophagus_gca_900012635	GCA_900012635.1	Complete Genome
methanobrevibacter_filiformis_gca_001639265	GCA_001639265.1	Contig
thermococcus_barophilus_gca_001433455	GCA_001433455.1	Complete Genome
aeropyrum_pernix_gca_004323575	GCA_004323575.1	Scaffold
halomicrobium_mukohataei_gca_004803735	GCA_004803735.1	Complete Genome
methanobacterium_subterraneum_gca_002813655	GCA_002813655.1	Complete Genome
methanobacterium_subterraneum_gca_002813695	GCA_002813695.1	Complete Genome
halogeometricum_borinquense_gca_004150395	GCA_004150395.1	Scaffold
natronorubrum_bangense_gca_004799645	GCA_004799645.1	Complete Genome
halorubrum_vacuolatum_gca_900188065	GCA_900188065.1	Contig
halobacterium_salinarum_nrc_1_gca_000006805	GCA_000006805.1	Complete Genome
methanobrevibacter_oralis_gca_001639275	GCA_001639275.1	Contig
thermococcus_kodakarensis_kod1_gca_000009965	GCA_000009965.1	Complete Genome
natrinema_pallidum_gca_005890195	GCA_005890195.1	Complete Genome
natrinema_pallidum_gca_005890195	GCA_005890195.1	Complete Genome
pyrococcus_horikoshii_ot3_gca_000011105	GCA_000011105.1	Complete Genome
thermococcus_gorgonarius_gca_002214385	GCA_002214385.1	Complete Genome
thermococcus_pacificus_gca_002214485	GCA_002214485.1	Complete Genome
thermococcus_siculi_gca_002214505	GCA_002214505.1	Complete Genome
ferroplasma_acidiphilum_gca_002078355	GCA_002078355.1	Complete Genome
methanothermobacter_marburgensis_str_marburg_gca_000145295	GCA_000145295.1	Complete Genome
methanoculleus_bourgensis_gca_900079125	GCA_900079125.1	Complete Genome
methanoculleus_sp_mab1_gca_900036045	GCA_900036045.1	Complete Genome
natrinema_versiforme_gca_005576615	GCA_005576615.1	Complete Genome
methanothrix_sp__gca_003857025	GCA_003857025.1	Contig
methanobacterium_congolense_gca_900095295	GCA_900095295.1	Complete Genome
methanoculleus_chikugoensis_gca_900095385	GCA_900095385.1	Contig
methanothermobacter_wolfeii_gca_900095815	GCA_900095815.1	Complete Genome
halobiforma_haloterrestris_gca_900112205	GCA_900112205.1	Scaffold
halopiger_aswanensis_gca_003610195	GCA_003610195.1	Scaffold
thermococcus_cleftensis_gca_000265525	GCA_000265525.1	Complete Genome
thermococcus_sibiricus_gca_001508065	GCA_001508065.1	Contig
pyrobaculum_aerophilum_str_im2_gca_000007225	GCA_000007225.1	Complete Genome
haloarcula_quadrata_gca_003634715	GCA_003634715.1	Contig
pyrococcus_furiosus_dsm_3638_gca_000007305	GCA_000007305.1	Complete Genome
methanothermobacter_thermautotrophicus_str_delta_h_gca_000008645	GCA_000008645.1	Complete Genome
thermococcus_radiotolerans_gca_002214565	GCA_002214565.1	Complete Genome
methanosarcina_acetivorans_c2a_gca_000007345	GCA_000007345.1	Complete Genome
methanopyrus_kandleri_av19_gca_000007185	GCA_000007185.1	Complete Genome
methanobrevibacter_gottschalkii_gca_900109595	GCA_900109595.1	Contig
methanobrevibacter_thaueri_gca_003111625	GCA_003111625.1	Contig
methanobrevibacter_woesei_gca_003111605	GCA_003111605.1	Contig
methanosarcina_mazei_go1_gca_000007065	GCA_000007065.1	Complete Genome
thermococcus_nautili_gca_000585495	GCA_000585495.1	Complete Genome
methanosarcina_mazei_s_6_gca_000970205	GCA_000970205.1	Complete Genome
archaeoglobus_fulgidus_dsm_4304_gca_000008665	GCA_000008665.1	Complete Genome
methanobrevibacter_sp_abm4_gca_000404165	GCA_000404165.1	Complete Genome
thermococcus_celericrescens_gca_001484195	GCA_001484195.1	Contig
nanoarchaeum_equitans_kin4_m_gca_000008085	GCA_000008085.1	Complete Genome
methanobrevibacter_millerae_gca_001477655	GCA_001477655.1	Complete Genome
methanocaldococcus_jannaschii_dsm_2661_gca_000091665	GCA_000091665.1	Complete Genome
thermococcus_sp_am4_gca_000151205	GCA_000151205.2	Complete Genome
natronolimnobius_baerhuensis_gca_002177135	GCA_002177135.1	Contig
methanococcoides_burtonii_dsm_6242_gca_000013725	GCA_000013725.1	Complete Genome
ferroplasma_sp_type_ii_gca_000496155	GCA_000496155.1	Scaffold
thermoplasmatales_archaeon_gpl_gca_001856845	GCA_001856845.1	Contig
picrophilus_torridus_dsm_9790_gca_000008265	GCA_000008265.1	Complete Genome
methanococcus_maripaludis_s2_gca_000011585	GCA_000011585.1	Complete Genome
halonotius_pteroides_gca_003605635	GCA_003605635.1	Contig
natronomonas_moolapensis_8_8_11_gca_000591055	GCA_000591055.1	Complete Genome
methanosarcina_barkeri_str_fusaro_gca_000195895	GCA_000195895.1	
aeropyrum_pernix_k1_gca_000011125	GCA_000011125.1	Complete Genome
haloarcula_marismortui_atcc_43049_gca_000011085	GCA_000011085.1	Complete Genome
haloarcula_marismortui_atcc_43049_gca_005310945	GCA_005310945.1	Complete Genome
pyrococcus_abyssi_ge5_gca_000195935	GCA_000195935.2	Complete Genome
saccharolobus_solfataricus_p2_gca_000007005	GCA_000007005.1	Complete Genome
sulfurisphaera_tokodaii_str_7_gca_000011205	GCA_000011205.1	Complete Genome
thermoplasma_acidophilum_dsm_1728_gca_000195915	GCA_000195915.1	Complete Genome
thermoplasma_volcanium_gss1_gca_000011185	GCA_000011185.1	Complete Genome
thermococcus_thioreducens_gca_001418715	GCA_001418715.1	Contig
thermococcus_thioreducens_gca_002214545	GCA_002214545.1	Complete Genome
thermococcus_thioreducens_gca_900109425	GCA_900109425.1	Scaffold
acidianus_manzaensis_gca_002116695	GCA_002116695.1	Complete Genome
methanobrevibacter_olleyae_gca_001563245	GCA_001563245.1	Complete Genome
methanobrevibacter_olleyae_gca_900114585	GCA_900114585.1	Scaffold
methanosaeta_harundinacea_gca_001508615	GCA_001508615.1	Contig
methanosaeta_harundinacea_gca_001509375	GCA_001509375.1	Scaffold
haloterrigena_saccharevitans_gca_001953745	GCA_001953745.1	Contig
haloferax_larsenii_gca_900109695	GCA_900109695.1	Scaffold
methanocella_paludicola_sanae_gca_000011005	GCA_000011005.1	Complete Genome
natronorubrum_thiooxidans_gca_900156475	GCA_900156475.1	Scaffold
haloferax_volcanii_ds2_gca_000025685	GCA_000025685.1	Complete Genome
haloferax_volcanii_ds2_gca_000337315	GCA_000337315.1	Contig
candidatus_caldiarchaeum_subterraneum_gca_000270325	GCA_000270325.1	Complete Genome
acidiplasma_cupricumulans_gca_001402935	GCA_001402935.1	Contig
methanospirillum_hungatei_jf_1_gca_000013445	GCA_000013445.1	Complete Genome
sulfolobus_acidocaldarius_dsm_639_gca_000012285	GCA_000012285.1	Complete Genome
ferroplasma_acidarmanus_fer1_gca_000152265	GCA_000152265.2	Complete Genome
halorubrum_chaoviator_gca_900188075	GCA_900188075.1	Contig
halorubrum_ezzemoulense_gca_002252725	GCA_002252725.1	Scaffold
halorubrum_ezzemoulense_gca_002252735	GCA_002252735.1	Scaffold
halorubrum_ezzemoulense_gca_002252805	GCA_002252805.1	Scaffold
halorubrum_ezzemoulense_gca_002252815	GCA_002252815.1	Contig
halorubrum_ezzemoulense_gca_002252835	GCA_002252835.1	Scaffold
halorubrum_ezzemoulense_gca_002252865	GCA_002252865.1	Contig
halorubrum_ezzemoulense_gca_002252875	GCA_002252875.1	Scaffold
halorubrum_ezzemoulense_gca_004126515	GCA_004126515.1	Complete Genome
methanosphaera_stadtmanae_dsm_3091_gca_000012545	GCA_000012545.1	Complete Genome
pyrobaculum_arsenaticum_dsm_13514_gca_000016385	GCA_000016385.1	Complete Genome
pyrococcus_sp_na2_gca_000211475	GCA_000211475.1	Complete Genome
natronomonas_pharaonis_dsm_2160_gca_000026045	GCA_000026045.1	Complete Genome
methanothrix_thermoacetophila_pt_gca_000014945	GCA_000014945.1	Complete Genome
methanocella_arvoryzae_mre50_gca_000063445	GCA_000063445.1	Complete Genome
halobacterium_jilantaiense_gca_900110535	GCA_900110535.1	Contig
halobiforma_lacisalsi_aj5_gca_000226975	GCA_000226975.3	Complete Genome
halobiforma_lacisalsi_aj5_gca_000336655	GCA_000336655.1	Contig
haloquadratum_walsbyi_dsm_16790_gca_000009185	GCA_000009185.1	Complete Genome
methanoculleus_marisnigri_jr1_gca_000015825	GCA_000015825.1	Complete Genome
thermofilum_pendens_hrk_5_gca_000015225	GCA_000015225.1	Complete Genome
natrinema_ejinorense_gca_002494345	GCA_002494345.1	Contig
candidatus_korarchaeum_cryptofilum_opf8_gca_000019605	GCA_000019605.1	Complete Genome
pyrobaculum_islandicum_dsm_4184_gca_000015205	GCA_000015205.1	Complete Genome
archaeoglobus_sulfaticallidus_pm70_1_gca_000385565	GCA_000385565.1	Complete Genome
methanobrevibacter_sp_87_7_gca_002208625	GCA_002208625.1	Contig
thermococcus_barophilus_mp_gca_000151105	GCA_000151105.2	Complete Genome
haloterrigena_hispanica_gca_004217335	GCA_004217335.1	Contig
haloterrigena_hispanica_gca_900111485	GCA_900111485.1	Scaffold
caldivirga_maquilingensis_ic_167_gca_000018305	GCA_000018305.1	Complete Genome
metallosphaera_sedula_dsm_5348_gca_000016605	GCA_000016605.1	
staphylothermus_marinus_f1_gca_000015945	GCA_000015945.1	Complete Genome
methanococcus_maripaludis_c5_gca_000016125	GCA_000016125.1	Complete Genome
methanococcus_vannielii_sb_gca_000017165	GCA_000017165.1	Complete Genome
natrinema_sp_j7_2_gca_000281695	GCA_000281695.1	Complete Genome
methanocorpusculum_labreanum_z_gca_000015765	GCA_000015765.1	Complete Genome
pyrobaculum_calidifontis_jcm_11548_gca_000015805	GCA_000015805.1	Complete Genome
haloterrigena_jeotgali_gca_004799625	GCA_004799625.1	Complete Genome
cenarchaeum_symbiosum_a_gca_000200715	GCA_000200715.1	Chromosome
hyperthermus_butylicus_dsm_5456_gca_000015145	GCA_000015145.1	Complete Genome
halorubrum_lacusprofundi_atcc_49239_gca_000022205	GCA_000022205.1	Complete Genome
methanococcus_aeolicus_nankai_3_gca_000017185	GCA_000017185.1	Complete Genome
sulfolobus_islandicus_y_n_15_51_gca_000022485	GCA_000022485.1	Complete Genome
methanobrevibacter_smithii_atcc_35061_gca_000016525	GCA_000016525.1	Complete Genome
sulfolobus_islandicus_l_d_8_5_gca_000024305	GCA_000024305.1	Chromosome
sulfolobus_islandicus_m_16_4_gca_000022445	GCA_000022445.1	Complete Genome
methanococcus_maripaludis_c7_gca_000017225	GCA_000017225.1	
sulfolobus_islandicus_m_14_25_gca_000022405	GCA_000022405.1	Complete Genome
sulfolobus_islandicus_m_16_27_gca_000022425	GCA_000022425.1	Complete Genome
sulfolobus_islandicus_l_s_2_15_gca_000022385	GCA_000022385.1	Complete Genome
nitrosopumilus_maritimus_scm1_gca_000018465	GCA_000018465.1	Complete Genome
sulfolobus_islandicus_y_g_57_14_gca_000022465	GCA_000022465.1	Complete Genome
aciduliprofundum_boonei_t469_gca_000025665	GCA_000025665.1	Complete Genome
aciduliprofundum_boonei_t469_gca_000151085	GCA_000151085.1	Scaffold
pyrobaculum_neutrophilum_v24sta_gca_000019805	GCA_000019805.1	Complete Genome
methanococcus_maripaludis_c6_gca_000018485	GCA_000018485.1	
ignicoccus_hospitalis_kin4_i_gca_000017945	GCA_000017945.1	Complete Genome
methanococcus_voltae_a3_gca_000006175	GCA_000006175.2	
methanoregula_boonei_6a8_gca_000017625	GCA_000017625.1	Complete Genome
halogeometricum_borinquense_dsm_11551_gca_000172995	GCA_000172995.2	Complete Genome
halogeometricum_borinquense_dsm_11551_gca_000337855	GCA_000337855.1	Contig
halobacterium_salinarum_r1_gca_000069025	GCA_000069025.1	Complete Genome
methanobrevibacter_smithii_dsm_2375_gca_000151245	GCA_000151245.1	Scaffold
halomicrobium_mukohataei_dsm_12286_gca_000023965	GCA_000023965.1	Complete Genome
methanolobus_profundi_gca_900114835	GCA_900114835.1	Scaffold
desulfurococcus_amylolyticus_1221n_gca_000020905	GCA_000020905.1	Complete Genome
candidatus_korarchaeum_cryptofilum_gca_003948265	GCA_003948265.1	Contig
acidiplasma_aeolicum_gca_001399695	GCA_001399695.1	Contig
acidiplasma_aeolicum_gca_001402945	GCA_001402945.1	Contig
halorhabdus_utahensis_dsm_12940_gca_000023945	GCA_000023945.1	Complete Genome
methanobrevibacter_smithii_dsm_2374_gca_000151225	GCA_000151225.1	Scaffold
methanosphaerula_palustris_e1_9c_gca_000021965	GCA_000021965.1	Complete Genome
haloferax_mediterranei_atcc_33500_gca_000306765	GCA_000306765.2	Complete Genome
haloferax_mediterranei_atcc_33500_gca_000337295	GCA_000337295.1	Contig
haloferax_mediterranei_atcc_33500_gca_000685635	GCA_000685635.1	Chromosome
haloferax_mediterranei_atcc_33500_gca_005406325	GCA_005406325.1	Complete Genome
methanohalophilus_portucalensis_fdf_1_gca_001888095	GCA_001888095.1	Scaffold
methanohalophilus_portucalensis_fdf_1_gca_003722115	GCA_003722115.1	Contig
methanohalophilus_portucalensis_fdf_1_gca_900177455	GCA_900177455.1	Contig
methanosarcina_thermophila_tm_1_gca_000969885	GCA_000969885.1	Complete Genome
methanothermus_fervidus_dsm_2088_gca_000166095	GCA_000166095.1	Complete Genome
thermococcus_litoralis_dsm_5473_gca_000246985	GCA_000246985.3	Complete Genome
thermococcus_onnurineus_na1_gca_000018365	GCA_000018365.1	Complete Genome
pyrococcus_yayanosii_ch1_gca_000215995	GCA_000215995.1	Complete Genome
haloterrigena_turkmenica_dsm_5511_gca_000025325	GCA_000025325.1	Complete Genome
methanohalophilus_mahii_dsm_5219_gca_000025865	GCA_000025865.1	Complete Genome
natrialba_magadii_atcc_43099_gca_000025625	GCA_000025625.1	Complete Genome
natrialba_magadii_atcc_43099_gca_000337875	GCA_000337875.1	Contig
halogranum_rubrum_gca_900114455	GCA_900114455.1	Scaffold
halopelagius_inordinatus_gca_900113245	GCA_900113245.1	Contig
haladaptatus_litoreus_gca_900156425	GCA_900156425.1	Scaffold
halogeometricum_rufum_gca_900112175	GCA_900112175.1	Contig
saccharolobus_solfataricus_98_2_gca_000024745	GCA_000024745.1	
haloplanus_vescus_gca_900107665	GCA_900107665.1	Scaffold
halogeometricum_limi_gca_900115785	GCA_900115785.1	Scaffold
natronoarchaeum_philippinense_gca_900215575	GCA_900215575.1	Contig
geoglobus_acetivorans_gca_000789255	GCA_000789255.1	
vulcanisaeta_distributa_dsm_14429_gca_000148385	GCA_000148385.1	Complete Genome
archaeoglobus_profundus_dsm_5631_gca_000025285	GCA_000025285.1	Complete Genome
methanocaldococcus_infernus_me_gca_000092305	GCA_000092305.1	Complete Genome
methanocaldococcus_fervens_ag86_gca_000023985	GCA_000023985.1	Complete Genome
methanocaldococcus_vulcanius_m7_gca_000024625	GCA_000024625.1	Complete Genome
thermococcus_paralvinellae_gca_000517445	GCA_000517445.1	Complete Genome
ignisphaera_aggregans_dsm_17230_gca_000145985	GCA_000145985.1	Complete Genome
haloterrigena_daqingensis_gca_001971705	GCA_001971705.1	Complete Genome
haloterrigena_daqingensis_gca_900156445	GCA_900156445.1	Contig
ferroglobus_placidus_dsm_10642_gca_000025505	GCA_000025505.1	Complete Genome
staphylothermus_hellenicus_dsm_12710_gca_000092465	GCA_000092465.1	Complete Genome
thermococcus_gammatolerans_ej3_gca_000022365	GCA_000022365.1	Complete Genome
methanoregula_formicica_smsp_gca_000327485	GCA_000327485.1	Complete Genome
thermococcus_sibiricus_mm_739_gca_000022545	GCA_000022545.1	Complete Genome
acidianus_sulfidivorans_jp7_gca_003201765	GCA_003201765.1	
halostagnicola_kamekurae_gca_900116205	GCA_900116205.1	Contig
thermosphaera_aggregans_dsm_11486_gca_000092185	GCA_000092185.1	Complete Genome
halorubrum_sp_pv6_gca_003990725	GCA_003990725.1	
haloarcula_hispanica_atcc_33960_gca_000223905	GCA_000223905.1	Complete Genome
methanobrevibacter_ruminantium_m1_gca_000024185	GCA_000024185.1	Complete Genome
natronorubrum_sediminis_gca_900108095	GCA_900108095.1	Scaffold
methanocaldococcus_sp_fs406_22_gca_000025525	GCA_000025525.1	Complete Genome
methanohalobium_evestigatum_z_7303_gca_000196655	GCA_000196655.1	Complete Genome
methanothermococcus_okinawensis_ih1_gca_000179575	GCA_000179575.2	Complete Genome
methanotorris_formicicus_mc_s_70_gca_000243455	GCA_000243455.2	Contig
halobellus_clavatus_gca_900107195	GCA_900107195.1	Contig
halorientalis_regularis_gca_900102305	GCA_900102305.1	Scaffold
halogranum_amylolyticum_gca_900110465	GCA_900110465.1	Scaffold
halogranum_gelatinilyticum_gca_900103715	GCA_900103715.1	Contig
haloplanus_aerogenes_gca_003688715	GCA_003688715.1	Scaffold
haloplanus_aerogenes_gca_003856835	GCA_003856835.1	Complete Genome
haloarcula_californiae_atcc_33799_gca_000337755	GCA_000337755.1	Contig
haloarcula_sinaiiensis_atcc_33800_gca_000337275	GCA_000337275.1	Contig
haloarcula_vallismortis_atcc_29715_gca_000337775	GCA_000337775.1	Contig
haloferax_denitrificans_atcc_35960_gca_000337795	GCA_000337795.1	Contig
haloferax_mucosum_atcc_baa_1512_gca_000337815	GCA_000337815.1	Contig
haloferax_sulfurifontis_atcc_baa_897_gca_000337835	GCA_000337835.1	Contig
acidilobus_saccharovorans_345_15_gca_000144915	GCA_000144915.1	Complete Genome
thermoplasmatales_archaeon_a_plasma_gca_000447225	GCA_000447225.1	Contig
thermoplasmatales_archaeon_e_plasma_gca_000496135	GCA_000496135.1	Scaffold
thermoplasmatales_archaeon_i_plasma_gca_001856825	GCA_001856825.1	Contig
methanospirillum_lacunae_gca_003173355	GCA_003173355.1	Contig
metallosphaera_yellowstonensis_mk1_gca_000243315	GCA_000243315.1	Scaffold
halomarina_oriensis_gca_003862495	GCA_003862495.1	Contig
aciduliprofundum_sp_mar08_339_gca_000327505	GCA_000327505.1	
methanosalsum_zhilinae_dsm_4017_gca_000217995	GCA_000217995.1	Complete Genome
methanolacinia_petrolearia_dsm_11571_gca_000147875	GCA_000147875.1	Complete Genome
fervidicoccus_fontis_gca_002871215	GCA_002871215.1	Contig
fervidicoccus_fontis_gca_002871295	GCA_002871295.1	Contig
archaeoglobus_veneficus_snp6_gca_000194625	GCA_000194625.1	Complete Genome
pyrolobus_fumarii_1a_gca_000223395	GCA_000223395.1	Complete Genome
natronococcus_occultus_sp4_gca_000328685	GCA_000328685.1	Complete Genome
thermofilum_adornatus_1505_gca_000813245	GCA_000813245.1	Complete Genome
pyrobaculum_oguniense_te7_gca_000247545	GCA_000247545.1	Complete Genome
halolamina_pelagica_gca_001307315	GCA_001307315.1	Contig
halolamina_pelagica_gca_900115675	GCA_900115675.1	Contig
halobellus_limi_gca_004799685	GCA_004799685.1	Complete Genome
halobellus_limi_gca_900108165	GCA_900108165.1	Scaffold
candidatus_nitrosopumilus_sp_nm25_gca_003175215	GCA_003175215.1	Contig
natronolimnobius_aegyptiacus_gca_002156705	GCA_002156705.1	Complete Genome
natronolimnobius_aegyptiacus_gca_002156705	GCA_002156705.1	Complete Genome
halobacterium_sp_dl1_gca_000230955	GCA_000230955.3	Complete Genome
salinigranum_rubrum_gca_002906575	GCA_002906575.1	Complete Genome
salinigranum_rubrum_gca_002906575	GCA_002906575.1	Complete Genome
halophilic_archaeon_dl31_gca_000224475	GCA_000224475.1	Complete Genome
desulfurococcus_mucosus_dsm_2162_gca_000186365	GCA_000186365.1	Complete Genome
halomicrobium_zhouii_gca_900114435	GCA_900114435.1	Scaffold
haloquadratum_walsbyi_c23_gca_000237865	GCA_000237865.1	Complete Genome
desulfurococcus_fermentans_dsm_16532_gca_000231015	GCA_000231015.3	Complete Genome
